Produkt_Code,SDO_ID,Zeitstempel,Wert,Qualitaet_Byte,Qualitaet_Niveau
OBS_DEU_PT5M_RADG,998,2024-01-01T00:00:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T00:05:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T00:10:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T00:15:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T00:20:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T00:25:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T00:30:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T00:35:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T00:40:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T00:45:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T00:50:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T00:55:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T01:00:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T01:05:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T01:10:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T01:15:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T01:20:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T01:25:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T01:30:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T01:35:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T01:40:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T01:45:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T01:50:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T01:55:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T02:00:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T02:05:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T02:10:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T02:15:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T02:20:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T02:25:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T02:30:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T02:35:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T02:40:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T02:45:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T02:50:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T02:55:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T03:00:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T03:05:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T03:10:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T03:15:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T03:20:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T03:25:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T03:30:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T03:35:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T03:40:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T03:45:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T03:50:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T03:55:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T04:00:00,0.0,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T04:05:00,0.1556,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T04:10:00,0.4526,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T04:15:00,0.9575,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T04:20:00,1.0222,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T04:25:00,1.6157,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T04:30:00,1.8055,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T04:35:00,1.6226,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T04:40:00,3.0151,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T04:45:00,2.0596,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T04:50:00,3.3187,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T04:55:00,3.5408,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T05:00:00,4.7176,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T05:05:00,3.1628,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T05:10:00,3.9569,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T05:15:00,4.6937,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T05:20:00,5.3147,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T05:25:00,6.4408,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T05:30:00,6.14,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T05:35:00,6.1112,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T05:40:00,7.789,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T05:45:00,8.2906,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T05:50:00,5.0084,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T05:55:00,7.3275,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T06:00:00,8.876,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T06:05:00,8.0979,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T06:10:00,10.2021,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T06:15:00,7.9561,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T06:20:00,6.9597,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T06:25:00,10.85,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T06:30:00,3.9039,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T06:35:00,8.7681,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T06:40:00,12.4039,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T06:45:00,10.3866,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T06:50:00,11.4186,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T06:55:00,8.7009,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T07:00:00,11.1214,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T07:05:00,11.1078,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T07:10:00,14.485,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T07:15:00,9.4301,1,3
OBS_DEU_PT5M_RADG,998,2024-01-01T07:20:00,5.091,1,3
