valid_time,u10,v10,t2m,ssrd,latitude,longitude
2024-01-01 00:00:00,1.9656067,5.5807343,280.82764,0.0,53.0,8.75
2024-01-01 01:00:00,1.7973175,5.5594635,281.04312,0.0,53.0,8.75
2024-01-01 02:00:00,2.0181732,5.7687073,281.29364,0.0,53.0,8.75
2024-01-01 03:00:00,2.146408,5.5582123,281.11078,0.0,53.0,8.75
2024-01-01 04:00:00,2.0175781,5.3685303,280.75885,0.0,53.0,8.75
2024-01-01 05:00:00,1.7700806,5.3262024,280.49823,0.0,53.0,8.75
2024-01-01 06:00:00,1.8513641,5.594635,280.32117,0.0,53.0,8.75
2024-01-01 07:00:00,2.145691,5.7266235,280.2749,0.0,53.0,8.75
2024-01-01 08:00:00,2.4455109,5.3914795,280.33252,1344.0,53.0,8.75
2024-01-01 09:00:00,3.2210236,5.083435,280.21396,28544.0,53.0,8.75
2024-01-01 10:00:00,4.017624,4.441864,280.4944,80384.0,53.0,8.75
2024-01-01 11:00:00,4.1024933,4.4309998,280.5601,141056.0,53.0,8.75
2024-01-01 12:00:00,4.0593414,4.142853,280.6737,329792.0,53.0,8.75
2024-01-01 13:00:00,5.5563354,4.1075287,281.10965,345024.0,53.0,8.75
2024-01-01 14:00:00,4.966934,3.3035278,280.95493,156992.0,53.0,8.75
2024-01-01 15:00:00,5.2433624,2.964981,280.45435,123584.0,53.0,8.75
2024-01-01 16:00:00,4.5205383,3.0951233,280.223,2304.0,53.0,8.75
2024-01-01 17:00:00,4.321701,3.3127594,279.84787,0.0,53.0,8.75
2024-01-01 18:00:00,4.192108,3.2635803,279.62466,0.0,53.0,8.75
2024-01-01 19:00:00,3.9490356,3.2082214,279.6679,0.0,53.0,8.75
2024-01-01 20:00:00,3.6112976,3.2224426,279.24658,0.0,53.0,8.75
2024-01-01 21:00:00,2.960022,3.2055054,278.7723,0.0,53.0,8.75
2024-01-01 22:00:00,2.6559906,3.363739,278.24274,0.0,53.0,8.75
2024-01-01 23:00:00,1.5107269,3.5277405,278.02087,0.0,53.0,8.75
2024-01-02 00:00:00,0.8426361,3.8495483,277.67108,0.0,53.0,8.75
2024-01-02 01:00:00,0.04598999,3.9304504,277.78647,0.0,53.0,8.75
2024-01-02 02:00:00,-1.0171661,3.950592,278.1433,0.0,53.0,8.75
2024-01-02 03:00:00,-1.8461456,4.1098785,278.35394,0.0,53.0,8.75
2024-01-02 04:00:00,-2.4939423,4.0756073,278.4652,0.0,53.0,8.75
2024-01-02 05:00:00,-2.97995,4.093704,278.70288,0.0,53.0,8.75
2024-01-02 06:00:00,-3.4848175,4.4560394,278.94647,0.0,53.0,8.75
2024-01-02 07:00:00,-3.9515839,4.739853,278.61,0.0,53.0,8.75
2024-01-02 08:00:00,-4.2971954,4.022232,278.1602,384.0,53.0,8.75
2024-01-02 09:00:00,-4.1796875,3.6921692,277.9406,22656.0,53.0,8.75
2024-01-02 10:00:00,-3.0741577,3.457779,278.06873,31744.0,53.0,8.75
2024-01-02 11:00:00,-1.3750305,2.7527924,279.06113,75840.0,53.0,8.75
2024-01-02 12:00:00,0.20155334,2.179184,281.11118,77696.0,53.0,8.75
2024-01-02 13:00:00,0.43818665,2.3340607,282.73898,137920.0,53.0,8.75
2024-01-02 14:00:00,-0.0821991,2.2979736,283.0285,114176.0,53.0,8.75
2024-01-02 15:00:00,-1.1837616,2.5314636,282.18936,38144.0,53.0,8.75
2024-01-02 16:00:00,-0.28016663,4.2485504,282.16125,512.0,53.0,8.75
2024-01-02 17:00:00,0.12446594,5.014969,282.3235,0.0,53.0,8.75
2024-01-02 18:00:00,-1.3584137,4.7553864,282.25525,0.0,53.0,8.75
2024-01-02 19:00:00,-1.5506134,5.1571503,282.1774,0.0,53.0,8.75
2024-01-02 20:00:00,0.08451843,5.8441925,282.77808,0.0,53.0,8.75
2024-01-02 21:00:00,2.3184204,5.991623,283.61713,0.0,53.0,8.75
2024-01-02 22:00:00,4.2055664,5.986847,284.0763,0.0,53.0,8.75
2024-01-02 23:00:00,5.3639374,5.589737,283.5108,0.0,53.0,8.75
2024-01-03 00:00:00,4.767395,6.018463,283.20328,0.0,53.0,8.75
2024-01-03 01:00:00,5.279358,6.5180817,283.078,0.0,53.0,8.75
2024-01-03 02:00:00,6.370178,6.4046173,282.69147,0.0,53.0,8.75
2024-01-03 03:00:00,7.143799,6.1423492,282.31567,0.0,53.0,8.75
2024-01-03 04:00:00,8.222015,5.8285522,282.2639,0.0,53.0,8.75
2024-01-03 05:00:00,8.62941,5.4259186,282.2275,0.0,53.0,8.75
2024-01-03 06:00:00,8.319702,5.163727,282.27246,0.0,53.0,8.75
2024-01-03 07:00:00,7.9048767,4.786606,282.25433,0.0,53.0,8.75
2024-01-03 08:00:00,7.574234,4.6073456,282.46313,1408.0,53.0,8.75
2024-01-03 09:00:00,7.1287994,4.3902893,282.63046,60800.0,53.0,8.75
2024-01-03 10:00:00,6.4829865,3.524292,282.99994,175552.0,53.0,8.75
2024-01-03 11:00:00,6.312332,3.7501068,282.96277,235648.0,53.0,8.75
2024-01-03 12:00:00,7.2829285,3.9230347,282.80643,441088.0,53.0,8.75
2024-01-03 13:00:00,6.1227417,3.7552948,282.40088,380544.0,53.0,8.75
2024-01-03 14:00:00,6.4948273,3.2190857,282.17267,174976.0,53.0,8.75
2024-01-03 15:00:00,6.5618744,2.9523163,282.02124,81280.0,53.0,8.75
2024-01-03 16:00:00,6.3402405,3.0676727,281.837,896.0,53.0,8.75
2024-01-03 17:00:00,5.805008,2.8500519,281.85956,0.0,53.0,8.75
2024-01-03 18:00:00,5.0875854,2.5751953,281.74152,0.0,53.0,8.75
2024-01-03 19:00:00,5.006592,2.4762726,281.42743,0.0,53.0,8.75
2024-01-03 20:00:00,5.0946655,2.4744415,281.3954,0.0,53.0,8.75
2024-01-03 21:00:00,5.0550385,2.2196655,281.26062,0.0,53.0,8.75
2024-01-03 22:00:00,5.093628,1.8229675,281.2508,0.0,53.0,8.75
2024-01-03 23:00:00,5.3674316,0.37223816,280.8851,0.0,53.0,8.75
2024-01-04 00:00:00,4.692337,-0.45132446,280.34277,0.0,53.0,8.75
2024-01-04 01:00:00,5.0871277,-0.5642395,279.78183,0.0,53.0,8.75
2024-01-04 02:00:00,5.5134277,-0.68362427,278.9042,0.0,53.0,8.75
2024-01-04 03:00:00,5.7012177,-0.85627747,278.18652,0.0,53.0,8.75
2024-01-04 04:00:00,5.9268494,-1.1346436,277.69128,0.0,53.0,8.75
2024-01-04 05:00:00,5.9108887,-1.6866455,277.08023,0.0,53.0,8.75
2024-01-04 06:00:00,5.5527954,-2.208496,276.74762,0.0,53.0,8.75
2024-01-04 07:00:00,5.06987,-2.473755,276.307,0.0,53.0,8.75
2024-01-04 08:00:00,4.488388,-2.5051575,276.08636,3136.0,53.0,8.75
2024-01-04 09:00:00,3.892273,-2.5764618,275.88104,89088.0,53.0,8.75
2024-01-04 10:00:00,3.2008514,-2.4320526,275.7306,219200.0,53.0,8.75
2024-01-04 11:00:00,2.656372,-2.212906,275.94025,359040.0,53.0,8.75
2024-01-04 12:00:00,2.3057556,-1.9239044,276.02423,319424.0,53.0,8.75
2024-01-04 13:00:00,1.9257812,-1.73172,275.98343,291072.0,53.0,8.75
2024-01-04 14:00:00,1.2589874,-1.8254852,275.87555,163776.0,53.0,8.75
2024-01-04 15:00:00,0.2445221,-1.560379,275.88895,80960.0,53.0,8.75
2024-01-04 16:00:00,-0.43800354,-1.2125092,275.3178,3456.0,53.0,8.75
2024-01-04 17:00:00,-1.0118103,-0.87831116,275.08264,0.0,53.0,8.75
2024-01-04 18:00:00,-1.3478394,-0.52482605,273.99664,0.0,53.0,8.75
2024-01-04 19:00:00,-1.6755524,-0.223526,274.46185,0.0,53.0,8.75
2024-01-04 20:00:00,-2.2717438,0.18421936,274.11853,0.0,53.0,8.75
2024-01-04 21:00:00,-2.5908203,0.2831421,274.81158,0.0,53.0,8.75
2024-01-04 22:00:00,-2.7505035,0.53552246,274.85876,0.0,53.0,8.75
2024-01-04 23:00:00,-2.9859467,0.38549805,274.75714,0.0,53.0,8.75
2024-01-05 00:00:00,-3.2958374,0.2026825,274.68167,0.0,53.0,8.75
2024-01-05 01:00:00,-3.8083496,0.18733215,274.56107,0.0,53.0,8.75
2024-01-05 02:00:00,-4.215851,0.0790863,274.58942,0.0,53.0,8.75
2024-01-05 03:00:00,-4.509781,0.30014038,274.4662,0.0,53.0,8.75
2024-01-05 04:00:00,-4.775543,0.20323181,274.1825,0.0,53.0,8.75
2024-01-05 05:00:00,-5.0624695,0.25421143,273.96887,0.0,53.0,8.75
2024-01-05 06:00:00,-5.3246,0.114486694,274.42072,0.0,53.0,8.75
2024-01-05 07:00:00,-5.470581,0.5665283,274.66666,0.0,53.0,8.75
2024-01-05 08:00:00,-5.1879883,1.006073,275.0326,960.0,53.0,8.75
2024-01-05 09:00:00,-4.894943,1.1073914,275.20502,43456.0,53.0,8.75
2024-01-05 10:00:00,-5.024521,1.0203247,275.4673,73856.0,53.0,8.75
2024-01-05 11:00:00,-5.038666,1.2773895,275.58365,191488.0,53.0,8.75
